2023-12-02 21:37:40.150 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-12-02 21:37:40.150 [info] Added views:workbench.panel.output in workbench.panel.output
2023-12-02 21:37:40.150 [info] Added views:terminal in terminal
2023-12-02 21:37:40.150 [info] Added views:outline in workbench.view.explorer
2023-12-02 21:37:40.150 [info] Added views:workbench.scm in workbench.view.scm
2023-12-02 21:37:40.150 [info] Added views:workbench.view.search in workbench.view.search
2023-12-02 21:37:40.150 [info] Added views:timeline in workbench.view.explorer
2023-12-02 21:37:40.150 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-12-02 21:37:41.696 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2023-12-02 21:37:41.812 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-12-02 21:37:41.819 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 21:37:41.820 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 21:37:42.206 [info] Added views:~remote.forwardedPorts in terminal
2023-12-02 21:39:52.601 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-12-02 21:39:56.854 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2023-12-02 21:39:56.867 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 21:39:56.949 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 21:52:47.083 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 21:52:47.115 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 21:52:47.122 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 21:52:47.178 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 21:52:47.262 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 21:52:47.273 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 21:52:52.557 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 21:52:52.612 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 22:05:25.241 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 22:05:25.266 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 22:05:25.276 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 22:05:25.330 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 22:05:25.387 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 22:05:25.402 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 22:05:42.929 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 22:05:42.980 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 22:47:46.368 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 22:47:46.420 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 22:47:46.428 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 22:47:46.500 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 22:47:46.532 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 22:47:46.545 [info] Added views:workbench.debug.welcome in workbench.view.debug
