2023-12-02 19:45:52.655 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-12-02 19:45:52.655 [info] Added views:workbench.panel.output in workbench.panel.output
2023-12-02 19:45:52.655 [info] Added views:terminal in terminal
2023-12-02 19:45:52.655 [info] Added views:outline in workbench.view.explorer
2023-12-02 19:45:52.655 [info] Added views:workbench.scm in workbench.view.scm
2023-12-02 19:45:52.655 [info] Added views:workbench.view.search in workbench.view.search
2023-12-02 19:45:52.655 [info] Added views:timeline in workbench.view.explorer
2023-12-02 19:45:52.655 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-12-02 19:45:53.686 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2023-12-02 19:45:53.734 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-12-02 19:45:53.737 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 19:45:53.738 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 19:45:54.471 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2023-12-02 19:46:49.493 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-12-02 19:46:54.851 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2023-12-02 19:46:54.859 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 19:46:55.005 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 19:47:19.479 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 19:47:19.524 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 19:47:19.538 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 19:47:19.585 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 19:47:19.669 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 19:47:19.692 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 19:47:26.705 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 19:47:26.764 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 19:47:30.043 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 19:47:30.075 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 19:47:30.096 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 19:47:30.131 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 19:47:30.238 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 19:47:30.265 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 19:49:28.288 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 19:49:28.354 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 19:49:30.857 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 19:49:30.902 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 19:49:30.909 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 19:49:30.937 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 19:49:31.023 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 19:49:31.056 [info] Added views:workbench.debug.welcome in workbench.view.debug
